docket_no,sex,race
MC-51-CR-0014123-2020,Male,White
MC-51-CR-0008508-2020,Male,Black
MC-51-CR-0004886-2020,Male,Black
MC-51-CR-0006777-2020,Male,Black
MC-51-CR-0004416-2020,Female,Black
MC-51-CR-0008998-2020,Male,Black
MC-51-CR-0011383-2020,Female,White
MC-51-CR-0016242-2020,Female,Black
MC-51-CR-0020648-2020,Male,Black
MC-51-CR-0006981-2020,Male,Black
MC-51-CR-0016024-2020,Male,White
MC-51-CR-0001840-2020,Male,White
MC-51-CR-0004670-2020,Male,Black
MC-51-CR-0006511-2020,Male,White
MC-51-CR-0014345-2020,Male,Black
MC-51-CR-0013284-2020,Male,Black
MC-51-CR-0022529-2020,Male,Black
MC-51-CR-0019093-2020,Male,Black
MC-51-CR-0002579-2020,Female,White
MC-51-CR-0009936-2020,Male,White
MC-51-CR-0021480-2020,Male,Black
MC-51-CR-0005828-2020,Male,Black
MC-51-CR-0000618-2020,Male,White
MC-51-CR-0021810-2020,Male,Black
MC-51-CR-0004671-2020,Male,Black
MC-51-CR-0020649-2020,Male,Black
MC-51-CR-0006980-2020,Male,Black
MC-51-CR-0016025-2020,Male,Black
MC-51-CR-0014344-2020,Male,White
MC-51-CR-0022528-2020,Male,White
MC-51-CR-0013285-2020,Female,White
MC-51-CR-0006510-2020,Male,Black
MC-51-CR-0006776-2020,Female,Black
MC-51-CR-0014122-2020,Male,White
MC-51-CR-0008509-2020,Male,Black
MC-51-CR-0004887-2020,Male,Black
MC-51-CR-0011382-2020,Male,Black
MC-51-CR-0016243-2020,Male,Black
MC-51-CR-0008999-2020,Male,Black
MC-51-CR-0021481-2020,Male,Black
MC-51-CR-0019092-2020,Male,White
MC-51-CR-0002578-2020,Male,Black
MC-51-CR-0009937-2020,Male,White
MC-51-CR-0000619-2020,Male,White
MC-51-CR-0021811-2020,Male,Black
MC-51-CR-0005829-2020,Male,Black
MC-51-CR-0020286-2020,Male,Black
MC-51-CR-0018695-2020,Male,Black
MC-51-CR-0022381-2020,Male,Black
MC-51-CR-0018863-2020,Female,Black
MC-51-CR-0001278-2020,Male,Black
MC-51-CR-0003119-2020,Male,Black
MC-51-CR-0010915-2020,Male,Black
MC-51-CR-0007171-2020,Male,Black
MC-51-CR-0015725-2020,Female,Black
MC-51-CR-0017444-2020,Male,Black
MC-51-CR-0021228-2020,Male,Black
MC-51-CR-0010585-2020,Male,Black
MC-51-CR-0005210-2020,Male,Asian/Pacific Islander
MC-51-CR-0005076-2020,Male,White
MC-51-CR-0017622-2020,Male,Black
MC-51-CR-0012482-2020,Male,Native American/Alaskan Native
MC-51-CR-0009168-2020,Male,Black
MC-51-CR-0015543-2020,Male,Black
MC-51-CR-0007317-2020,Male,Black
MC-51-CR-0001279-2020,Male,Black
MC-51-CR-0018862-2020,Male,Black
