bail_year,bail_month,bail_type,count
2020,1,Denied,22
2020,1,Monetary,1308
2020,1,Nonmonetary,74
2020,1,ROR,831
2020,1,Unsecured,281
2020,2,Denied,44
2020,2,Monetary,1265
2020,2,Nonmonetary,62
2020,2,ROR,1023
2020,2,Unsecured,282
2020,3,Denied,33
2020,3,Monetary,798
2020,3,Nonmonetary,28
2020,3,ROR,605
2020,3,Unsecured,274
2020,4,Denied,18
2020,4,Monetary,510
2020,4,ROR,108
2020,4,Unsecured,244
2020,5,Denied,18
2020,5,Monetary,1002
2020,5,Nonmonetary,1
2020,5,ROR,478
2020,5,Unsecured,624
2020,6,Denied,16
2020,6,Monetary,830
2020,6,ROR,457
2020,6,Unsecured,652
2020,7,Denied,33
2020,7,Monetary,891
2020,7,ROR,510
2020,7,Unsecured,426
2020,8,Denied,50
2020,8,Monetary,926
2020,8,ROR,622
2020,8,Unsecured,457
2020,9,Denied,41
2020,9,Monetary,1151
2020,9,ROR,595
2020,9,Unsecured,458
2020,10,Denied,33
2020,10,Monetary,1311
2020,10,ROR,719
2020,10,Unsecured,622
2020,11,Denied,27
2020,11,Monetary,846
2020,11,ROR,396
2020,11,Unsecured,284
2020,12,Denied,11
2020,12,Monetary,969
2020,12,ROR,502
2020,12,Unsecured,445
2021,1,Denied,43
2021,1,Monetary,1151
2021,1,ROR,543
2021,1,Unsecured,422
2021,2,Denied,34
2021,2,Monetary,985
2021,2,Nonmonetary,1
2021,2,ROR,400
2021,2,Unsecured,365
2021,3,Denied,39
2021,3,Monetary,1125
2021,3,ROR,492
2021,3,Unsecured,429
