,magistrate,bail_amount,year
0,"Bernard, Francis X.",30000.0,2020
1,No Magistrate Found,30000.0,2020
2,"Bernard, Francis X.",100000.0,2020
3,"Bernard, Francis X.",50000.0,2020
4,"Bernard, Francis X.",12000.0,2020
5,"Bernard, Francis X.",150000.0,2020
6,"Bernard, Francis X.",15000.0,2020
7,"Devlin, Kevin R.",10000.0,2020
8,"Devlin, Kevin R.",10000.0,2020
9,No Magistrate Found,175000.0,2020
10,"Devlin, Kevin R.",25000.0,2020
11,"Devlin, Kevin R.",10000.0,2020
12,"Devlin, Kevin R.",30000.0,2020
13,"Devlin, Kevin R.",7500.0,2020
14,"O'Brien, James",5000.0,2020
15,"O'Brien, James",15000.0,2020
16,"O'Brien, James",5000.0,2020
17,No Magistrate Found,150000.0,2020
18,"O'Brien, James",50000.0,2020
19,"O'Brien, James",100000.0,2020
20,"O'Brien, James",15000.0,2020
21,"O'Brien, James",20000.0,2020
22,"O'Brien, James",100000.0,2020
23,"O'Brien, James",25000.0,2020
24,No Magistrate Found,150000.0,2020
25,"O'Brien, James",10000.0,2020
26,"O'Brien, James",25000.0,2020
27,"O'Brien, James",25000.0,2020
28,"O'Brien, James",25000.0,2020
29,"O'Brien, James",5000.0,2020
30,"Bernard, Francis X.",450000.0,2020
31,"Bernard, Francis X.",150000.0,2020
32,"Bernard, Francis X.",150000.0,2020
33,"Bernard, Francis X.",150000.0,2020
34,"Bernard, Francis X.",30000.0,2020
35,"Bernard, Francis X.",10000.0,2020
36,No Magistrate Found,2500.0,2020
37,"Bernard, Francis X.",30000.0,2020
38,"Devlin, Kevin R.",200000.0,2020
39,"Devlin, Kevin R.",10000.0,2020
40,"Devlin, Kevin R.",25000.0,2020
41,"Devlin, Kevin R.",6700.0,2020
42,"Devlin, Kevin R.",750000.0,2020
43,"Devlin, Kevin R.",750000.0,2020
44,"Devlin, Kevin R.",75000.0,2020
45,"Devlin, Kevin R.",750000.0,2020
46,"Devlin, Kevin R.",750000.0,2020
47,"Devlin, Kevin R.",750000.0,2020
48,"Devlin, Kevin R.",750000.0,2020
49,"Devlin, Kevin R.",750000.0,2020
50,"Devlin, Kevin R.",10000.0,2020
51,"O'Brien, James",2500.0,2020
52,"O'Brien, James",75000.0,2020
53,"O'Brien, James",75000.0,2020
54,"O'Brien, James",5000.0,2020
55,"O'Brien, James",12000.0,2020
56,"Stack, Patrick",15000.0,2020
57,"Stack, Patrick",5000.0,2020
58,"Stack, Patrick",25000.0,2020
59,"Stack, Patrick",25000.0,2020
60,"Stack, Patrick",10000.0,2020
61,"Stack, Patrick",50000.0,2020
62,"Stack, Patrick",25000.0,2020
63,"Stack, Patrick",10000.0,2020
64,"Stack, Patrick",25000.0,2020
65,"Stack, Patrick",25000.0,2020
66,"Stack, Patrick",10000.0,2020
67,"Stack, Patrick",5000.0,2020
68,E-Filing Judge,150000.0,2020
69,E-Filing Judge,10000.0,2020
70,E-Filing Judge,25000.0,2020
71,No Magistrate Found,50000.0,2020
72,E-Filing Judge,25000.0,2020
73,"Devlin, Kevin R.",100000.0,2020
74,"Devlin, Kevin R.",25000.0,2020
75,"Devlin, Kevin R.",5000.0,2020
76,"Devlin, Kevin R.",20000.0,2020
77,"Devlin, Kevin R.",100000.0,2020
78,No Magistrate Found,300000.0,2020
79,"Devlin, Kevin R.",75000.0,2020
80,"Devlin, Kevin R.",15000.0,2020
81,"Devlin, Kevin R.",25000.0,2020
82,"Devlin, Kevin R.",10000.0,2020
83,"Devlin, Kevin R.",7500.0,2020
84,"Devlin, Kevin R.",25000.0,2020
85,"Devlin, Kevin R.",10000.0,2020
86,"Devlin, Kevin R.",50000.0,2020
87,"Stack, Patrick",50000.0,2020
88,"Stack, Patrick",150000.0,2020
89,"Stack, Patrick",150000.0,2020
90,"Stack, Patrick",500000.0,2020
91,"Stack, Patrick",75000.0,2020
92,"Stack, Patrick",150000.0,2020
93,"Stack, Patrick",150000.0,2020
94,No Magistrate Found,100000.0,2020
95,"Stack, Patrick",10000.0,2020
96,No Magistrate Found,100000.0,2020
97,"Stack, Patrick",5000.0,2020
98,"Stack, Patrick",15000.0,2020
99,"Stack, Patrick",150000.0,2020
100,"Stack, Patrick",10000.0,2020
101,"Stack, Patrick",10000.0,2020
102,"Stack, Patrick",3500.0,2020
