magistrate,Monetary,ROR,Total,Unsecured,bail_amount,Monetary_count,ROR_count,Unsecured_count,Other,Other_count
No Magistrate Found,49.86,1.36,734,1.63,$nan,366,10,12,47.14,346
Devlin,53.28,39.82,899,5.9,"$50,214",479,358,53,1.0,9
Connor,49.34,22.44,985,28.22,"$93,792",486,221,278,0.0,0
Williams,45.46,28.33,992,26.11,"$43,290",451,281,259,0.1,1
Rainey,48.73,26.31,1106,24.95,"$57,307",539,291,276,0.0,0
Other,45.54,31.2,1221,23.26,"$71,972",556,381,284,0.0,0
Rigmaiden-DeLeon,50.82,26.86,1761,22.32,"$96,682",895,473,393,0.0,0
E-Filing Judge,38.36,33.8,3488,26.46,"$151,629",1338,1179,923,1.38,48
Stack,49.13,41.2,4063,9.6,"$178,375",1996,1674,390,0.07,3
Bernard,53.5,22.86,4458,22.48,"$503,404",2385,1019,1002,1.17,52
O'Brien,51.35,21.36,4518,26.14,"$264,058",2320,965,1181,1.15,52
