magistrate,Denied,Monetary,Nonmonetary,ROR,Total,Unsecured,bail_amount,Monetary_count,Nonmonetary_count,Denied_count,ROR_count,Unsecured_count
E-Filing Judge,0.0,100.0,0.0,0.0,1,0.0,$0,1,0,0,0,0
Caudo,0.0,55.0,0.0,10.0,20,35.0,"$2,760",11,0,0,2,7
No Magistrate Found,99.15,0.85,0.0,0.0,117,0.0,$12,1,0,116,0,0
Williams,0.0,60.47,0.0,18.85,382,20.68,"$27,260",231,0,0,72,79
O'Brien,0.0,55.26,0.21,16.08,485,28.45,"$38,876",268,1,0,78,138
Bernard,0.0,64.2,0.0,14.58,919,21.22,"$152,485",590,0,0,134,195
Rigmaiden-DeLeon,0.0,50.98,0.0,24.56,965,24.46,"$48,602",492,0,0,237,236
Connor,0.0,47.95,0.0,23.92,974,28.13,"$113,516",467,0,0,233,274
Rainey,0.0,49.81,0.0,27.52,1032,22.67,"$83,153",514,0,0,284,234
Stack,0.0,60.78,0.0,34.67,1122,4.55,"$69,622",682,0,0,389,51
