,attorney_type,bail_date,bail_type,bail_amount,bail_set_bin,bail_paid,zipcode_clean
0,Public,2020-01-01,ROR,0.0,None,0.0,19115
1,Private,2020-01-01,ROR,0.0,None,0.0,19134
2,Public,2020-01-01,ROR,0.0,None,0.0,19131
3,Public,2020-01-01,Monetary,30000.0,25k to 50k,0.0,19121
4,Court Appointed,2020-01-01,Monetary,30000.0,25k to 50k,0.0,19135
5,Public,2020-01-01,ROR,0.0,None,0.0,19120
6,Public,2020-01-01,Monetary,100000.0,100k to 500k,10000.0,19134
7,Public,2020-01-01,ROR,0.0,None,0.0,19143
8,Public,2020-01-01,ROR,0.0,None,0.0,19440
9,Public,2020-01-01,Monetary,50000.0,50k to 100k,5000.0,19082
10,Public,2020-01-01,Monetary,12000.0,10k to 25k,1200.0,19135
11,Public,2020-01-01,Monetary,150000.0,100k to 500k,0.0,19124
12,Public,2020-01-01,ROR,0.0,None,0.0,19440
13,Public,2020-01-01,Monetary,15000.0,10k to 25k,0.0,19134
14,Public,2020-01-01,ROR,0.0,None,0.0,
15,Public,2020-01-01,ROR,0.0,None,0.0,19082
16,Public,2020-01-01,ROR,0.0,None,0.0,19154
17,Public,2020-01-01,ROR,0.0,None,0.0,19103
18,Private,2020-01-02,Monetary,10000.0,10k to 25k,1000.0,17074
19,Private,2020-01-02,Monetary,10000.0,10k to 25k,1000.0,17074
20,Public,2020-01-01,Monetary,175000.0,100k to 500k,17500.0,19139
21,Public,2020-01-01,Monetary,25000.0,25k to 50k,0.0,19143
22,Public,2020-01-01,Monetary,10000.0,10k to 25k,1000.0,19140
23,Public,2020-01-01,ROR,0.0,None,0.0,18901
24,Public,2020-01-01,Monetary,30000.0,25k to 50k,0.0,19121
25,Public,2020-01-01,Monetary,7500.0,5k to 10k,750.0,19132
26,,2020-01-01,ROR,0.0,None,0.0,19139
27,Public,2020-01-01,ROR,0.0,None,0.0,19140
28,Public,2020-01-01,ROR,0.0,None,0.0,19144
29,Public,2020-01-01,ROR,0.0,None,0.0,19141
30,Private,2020-01-01,ROR,0.0,None,0.0,19124
31,,2020-01-01,ROR,0.0,None,0.0,19079
32,Public,2020-01-01,ROR,0.0,None,0.0,
33,,2020-01-01,ROR,0.0,None,0.0,19104
34,Private,2020-01-01,Unsecured,2500.0,1k to 5k,0.0,19141
35,Public,2020-01-01,Monetary,5000.0,5k to 10k,500.0,19122
36,Public,2020-01-01,ROR,0.0,None,0.0,19131
37,Public,2020-01-01,Monetary,15000.0,10k to 25k,0.0,19121
38,Public,2020-01-01,ROR,0.0,None,0.0,08817
39,Public,2020-01-01,ROR,0.0,None,0.0,19141
40,Public,2020-01-01,ROR,0.0,None,0.0,19057
41,Public,2020-01-01,Unsecured,5000.0,5k to 10k,0.0,19134
42,Public,2020-01-01,Unsecured,5000.0,5k to 10k,0.0,19134
43,Public,2020-01-01,Monetary,5000.0,5k to 10k,500.0,19149
44,Private,2020-01-01,Monetary,150000.0,100k to 500k,0.0,19133
45,Private,2020-01-01,Monetary,50000.0,50k to 100k,0.0,19153
46,Court Appointed,2020-01-01,Unsecured,5000.0,5k to 10k,0.0,19126
47,Public,2020-01-01,Monetary,100000.0,100k to 500k,10000.0,19121
48,Private,2020-01-01,Unsecured,7500.0,5k to 10k,0.0,19053
49,Private,2020-01-01,Monetary,15000.0,10k to 25k,1500.0,19124
50,Public,2020-01-01,Monetary,20000.0,10k to 25k,0.0,19149
51,Public,2020-01-01,Monetary,100000.0,100k to 500k,0.0,19120
52,Public,2020-01-01,Unsecured,5000.0,5k to 10k,0.0,19146
53,Public,2020-01-01,Monetary,25000.0,25k to 50k,0.0,
54,Court Appointed,2020-01-01,Monetary,150000.0,100k to 500k,0.0,
55,Public,2020-01-01,Monetary,10000.0,10k to 25k,1000.0,18045
56,Public,2020-01-01,Monetary,25000.0,25k to 50k,0.0,19140
57,Public,2020-01-01,Monetary,25000.0,25k to 50k,2500.0,19139
58,Public,2020-01-01,Monetary,25000.0,25k to 50k,2500.0,19139
59,Public,2020-01-01,ROR,0.0,None,0.0,
60,Court Appointed,2020-01-01,Monetary,5000.0,5k to 10k,500.0,19149
61,Public,2020-01-02,ROR,0.0,None,0.0,19136
62,Public,2020-01-02,Nonmonetary,0.0,None,0.0,
63,Public,2020-01-02,Monetary,450000.0,100k to 500k,0.0,01919
64,Public,2020-01-02,Monetary,150000.0,100k to 500k,0.0,01919
65,Public,2020-01-02,Monetary,150000.0,100k to 500k,0.0,01919
66,Public,2020-01-02,Monetary,150000.0,100k to 500k,0.0,01919
67,Public,2020-01-02,Nonmonetary,0.0,None,0.0,19131
68,Public,2020-01-02,Nonmonetary,0.0,None,0.0,19130
69,Public,2020-01-02,Unsecured,5000.0,5k to 10k,0.0,19139
70,Public,2020-01-02,Monetary,30000.0,25k to 50k,3000.0,19129
71,Private,2020-01-02,ROR,0.0,None,0.0,19119
72,Public,2020-01-02,ROR,0.0,None,0.0,19147
73,Public,2020-01-02,ROR,0.0,None,0.0,
74,Public,2020-01-02,Monetary,10000.0,10k to 25k,0.0,19149
75,Public,2020-01-02,Monetary,2500.0,1k to 5k,0.0,19120
76,Private,2020-01-02,ROR,0.0,None,0.0,19124
77,Court Appointed,2020-01-02,Monetary,30000.0,25k to 50k,0.0,19121
78,Public,2020-01-02,ROR,0.0,None,0.0,19138
