"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C01_002E","S1901_C01_002M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C01_004E","S1901_C01_004M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C01_005E","S1901_C01_005M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C01_006E","S1901_C01_006M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C01_007E","S1901_C01_007M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C01_008E","S1901_C01_008M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010E","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C01_011E","S1901_C01_011M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C01_013E","S1901_C01_013M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C01_015E","S1901_C01_015M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"8600000US19102","ZCTA5 19102","2978","260","764","186","708","177","2214","247","9.5","4.7","3.7","4.1","4.0","4.5","11.5","6.2","1.5","1.3","0.0","3.2","0.0","3.5","2.0","1.8","4.4","3.1","2.6","4.0","0.0","3.5","5.0","3.9","3.6","2.5","0.0","3.2","0.0","3.5","4.8","3.3","4.2","2.7","2.1","3.2","2.3","3.5","4.9","3.3","17.8","5.7","6.8","5.5","7.3","5.9","21.6","7.3","11.6","4.6","11.3","7.8","9.2","7.2","12.5","6.0","13.3","4.0","16.6","10.0","15.8","10.1","11.4","5.3","17.4","5.6","26.7","13.7","28.8","14.1","14.2","6.6","16.7","5.0","30.2","13.1","32.6","14.4","12.0","4.7","90750","22763","163226","15940","167759","11900","75357","10738","142551","21677","223116","58465","N","N","114421","19726","21.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","14.7","(X)"
"8600000US19103","ZCTA5 19103","15097","506","4076","333","3596","337","11021","492","6.1","1.2","0.9","0.7","1.0","0.8","8.1","1.5","3.3","1.0","0.2","0.3","0.2","0.4","4.5","1.4","7.1","1.2","4.4","2.3","3.5","2.4","8.3","1.4","6.1","1.1","2.5","1.7","2.6","1.8","7.8","1.5","9.8","1.8","8.0","2.9","7.4","2.9","10.4","2.3","19.0","2.5","8.0","3.0","7.0","2.9","22.8","3.4","10.3","1.7","5.9","2.7","6.7","3.0","11.9","2.0","14.6","2.1","21.7","4.3","22.4","4.5","11.7","2.5","8.4","1.6","14.9","3.4","13.2","3.3","6.1","1.9","15.2","1.8","33.4","4.8","35.9","5.3","8.5","2.0","73611","2730","145286","10099","147895","10035","61186","3130","123374","8162","219188","20398","N","N","87579","7234","26.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","25.6","(X)"
"8600000US19104","ZCTA5 19104","16368","464","5760","388","2576","324","10608","351","28.9","2.1","17.2","3.5","7.5","2.6","35.9","3.1","8.0","1.4","6.7","2.2","2.2","1.3","8.8","1.5","12.0","1.5","12.5","2.8","7.0","3.4","11.7","1.8","11.1","1.5","11.4","2.8","9.4","3.4","11.5","2.0","11.4","1.7","12.5","3.0","10.6","4.4","10.9","2.1","13.3","1.8","16.1","3.2","20.5","5.3","11.2","2.0","5.5","1.1","7.2","1.7","13.0","3.5","4.4","1.3","5.5","1.1","8.7","2.3","15.6","4.5","3.5","1.0","2.1","0.6","3.4","1.4","6.5","2.7","0.9","0.5","2.3","0.7","4.3","1.7","7.6","3.0","1.2","0.5","25865","1950","37108","4447","66351","7801","18892","2419","43842","3106","57260","5869","85021","9143","35162","3674","39.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","45.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.1","(X)"
"8600000US19106","ZCTA5 19106","6519","280","2351","241","2052","211","4168","325","4.4","1.8","0.6","0.9","0.6","1.0","6.6","2.8","1.6","0.9","0.0","1.1","0.0","1.2","2.5","1.4","2.9","1.0","0.6","0.8","0.6","1.0","4.2","1.6","4.1","1.6","3.3","2.8","1.0","1.3","4.6","2.0","6.0","1.6","0.9","1.0","1.0","1.1","8.8","2.4","13.6","2.4","8.3","2.8","8.2","3.1","16.7","3.4","11.7","2.2","9.8","3.2","9.0","3.2","13.1","2.8","23.5","2.9","21.5","4.2","19.9","4.6","24.4","4.3","13.6","3.0","21.4","5.7","23.4","6.5","9.2","3.0","18.6","2.5","33.7","4.7","36.2","5.5","10.0","2.6","109393","8545","165903","12005","171526","9656","86614","7587","151764","11902","228289","27627","N","N","108486","8490","23.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.1","(X)"
"8600000US19107","ZCTA5 19107","7371","313","1638","192","1342","175","5733","285","14.3","2.3","4.2","3.1","1.0","1.4","17.2","2.8","5.6","1.4","6.2","3.4","2.8","2.5","5.5","1.8","7.5","1.7","5.4","3.1","5.4","3.6","8.1","2.3","9.4","1.9","7.9","4.8","7.2","4.2","9.8","2.2","9.8","2.2","7.9","5.2","8.6","6.5","10.3","2.3","14.5","2.3","8.5","3.9","5.5","4.0","16.5","2.9","10.9","2.3","9.5","4.8","8.4","5.1","11.4","2.7","13.4","2.4","20.1","6.5","24.1","7.9","11.5","2.7","5.2","1.3","10.0","4.4","12.2","5.3","3.6","1.3","9.3","1.8","20.3","5.0","24.7","6.0","6.1","2.0","53534","3326","101875","20493","128819","10436","48900","5226","86770","6867","134247","15175","N","N","72920","8048","20.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.7","(X)"
"8600000US19109","ZCTA5 19109","0","10","0","10","0","10","0","10","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","-","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","-","(X)"
"8600000US19111","ZCTA5 19111","23930","562","15968","671","9507","553","7962","558","7.7","1.2","4.6","1.5","2.0","1.1","14.9","2.9","5.6","1.1","4.9","1.5","2.5","1.2","7.7","2.3","11.2","1.4","8.6","1.9","7.5","2.6","17.1","2.5","10.6","1.5","9.1","1.6","9.4","2.1","13.3","3.0","16.7","1.9","17.0","2.3","14.1","2.4","16.5","3.4","17.5","1.7","19.0","2.4","17.2","3.2","14.4","2.3","11.0","1.6","11.6","2.0","13.5","2.4","9.6","2.5","12.8","1.7","16.1","2.4","19.9","3.0","5.0","1.8","4.7","1.0","6.0","1.5","9.2","2.3","1.3","0.8","2.2","0.6","3.1","0.8","4.7","1.3","0.2","0.3","48186","2217","56373","2449","71476","6530","32390","3319","63069","2073","72090","3046","85523","4778","41931","2459","42.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.4","(X)"
"8600000US19112","ZCTA5 19112","0","10","0","10","0","10","0","10","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","-","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","-","(X)"
"8600000US19114","ZCTA5 19114","12988","248","7542","335","5224","332","5446","346","6.1","1.4","3.6","1.6","1.6","1.3","10.4","2.6","4.6","1.6","1.1","0.8","0.2","0.3","10.0","3.8","8.2","1.7","4.7","1.7","1.9","0.8","13.7","3.1","10.8","1.5","9.1","2.3","7.5","2.6","13.7","2.8","15.0","2.1","13.6","2.6","11.2","2.8","17.8","3.6","17.9","2.4","18.7","3.1","17.5","3.4","16.8","3.3","13.7","1.7","17.5","2.7","19.6","3.4","7.0","1.9","15.7","1.9","21.1","2.5","25.7","3.5","7.0","2.5","5.2","1.2","7.5","1.8","10.5","2.5","1.5","1.7","2.8","0.8","3.1","1.2","4.3","1.7","2.1","1.2","56781","3379","74009","3369","87867","6204","36169","2836","71208","3025","83230","3605","N","N","51334","5655","38.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","37.5","(X)"
