,zipcode,households,families,married_families,nonfamily_households,households_less_than_$10000,"households_$10,000_to_$14,999","households_$15,000_to_$24,999","households_$25,000_to_$34,999","households_$35,000_to_$44,999","households_$45,000_to_$74,999","households_$75,000_to_$99,999","households_$100,000_to_$149,999","households_$150,000_to_$199,999","households_$200,000_or_more",households_median_income,households_mean_income,families_less_than_$10000,"families_$10,000_to_$14,999","families_$15,000_to_$24,999","families_$25,000_to_$34,999","families_$35,000_to_$44,999","families_$45,000_to_$74,999","families_$75,000_to_$99,999","families_$100,000_to_$149,999","families_$150,000_to_$199,999","families_$200,000_or_more",families_median_income,families_mean_income,married_families_less_than_$10000,"married_families_$10,000_to_$14,999","married_families_$15,000_to_$24,999","married_families_$25,000_to_$34,999","married_families_$35,000_to_$44,999","married_families_$45,000_to_$74,999","married_families_$75,000_to_$99,999","married_families_$100,000_to_$149,999","married_families_$150,000_to_$199,999","married_families_$200,000_or_more",married_families_median_income,married_families_mean_income,nonfamily_households_less_than_$10000,"nonfamily_households_$10,000_to_$14,999","nonfamily_households_$15,000_to_$24,999","nonfamily_households_$25,000_to_$34,999","nonfamily_households_$35,000_to_$44,999","nonfamily_households_$45,000_to_$74,999","nonfamily_households_$75,000_to_$99,999","nonfamily_households_$100,000_to_$149,999","nonfamily_households_$150,000_to_$199,999","nonfamily_households_$200,000_or_more",nonfamily_households_median_income,nonfamily_households_mean_income
0,19102,2978,764,708,2214,9.5,1.5,4.4,3.6,4.2,17.8,11.6,13.3,17.4,16.7,90750,142551,3.7,0.0,2.6,0.0,2.1,6.8,11.3,16.6,26.7,30.2,163226,223116,4.0,0.0,0.0,0.0,2.3,7.3,9.2,15.8,28.8,32.6,167759,N,11.5,2.0,5.0,4.8,4.9,21.6,12.5,11.4,14.2,12.0,75357,114421
1,19103,15097,4076,3596,11021,6.1,3.3,7.1,6.1,9.8,19.0,10.3,14.6,8.4,15.2,73611,123374,0.9,0.2,4.4,2.5,8.0,8.0,5.9,21.7,14.9,33.4,145286,219188,1.0,0.2,3.5,2.6,7.4,7.0,6.7,22.4,13.2,35.9,147895,N,8.1,4.5,8.3,7.8,10.4,22.8,11.9,11.7,6.1,8.5,61186,87579
2,19104,16368,5760,2576,10608,28.9,8.0,12.0,11.1,11.4,13.3,5.5,5.5,2.1,2.3,25865,43842,17.2,6.7,12.5,11.4,12.5,16.1,7.2,8.7,3.4,4.3,37108,57260,7.5,2.2,7.0,9.4,10.6,20.5,13.0,15.6,6.5,7.6,66351,85021,35.9,8.8,11.7,11.5,10.9,11.2,4.4,3.5,0.9,1.2,18892,35162
3,19106,6519,2351,2052,4168,4.4,1.6,2.9,4.1,6.0,13.6,11.7,23.5,13.6,18.6,109393,151764,0.6,0.0,0.6,3.3,0.9,8.3,9.8,21.5,21.4,33.7,165903,228289,0.6,0.0,0.6,1.0,1.0,8.2,9.0,19.9,23.4,36.2,171526,N,6.6,2.5,4.2,4.6,8.8,16.7,13.1,24.4,9.2,10.0,86614,108486
4,19107,7371,1638,1342,5733,14.3,5.6,7.5,9.4,9.8,14.5,10.9,13.4,5.2,9.3,53534,86770,4.2,6.2,5.4,7.9,7.9,8.5,9.5,20.1,10.0,20.3,101875,134247,1.0,2.8,5.4,7.2,8.6,5.5,8.4,24.1,12.2,24.7,128819,N,17.2,5.5,8.1,9.8,10.3,16.5,11.4,11.5,3.6,6.1,48900,72920
5,19109,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,19111,23930,15968,9507,7962,7.7,5.6,11.2,10.6,16.7,17.5,11.0,12.8,4.7,2.2,48186,63069,4.6,4.9,8.6,9.1,17.0,19.0,11.6,16.1,6.0,3.1,56373,72090,2.0,2.5,7.5,9.4,14.1,17.2,13.5,19.9,9.2,4.7,71476,85523,14.9,7.7,17.1,13.3,16.5,14.4,9.6,5.0,1.3,0.2,32390,41931
7,19112,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,19114,12988,7542,5224,5446,6.1,4.6,8.2,10.8,15.0,17.9,13.7,15.7,5.2,2.8,56781,71208,3.6,1.1,4.7,9.1,13.6,18.7,17.5,21.1,7.5,3.1,74009,83230,1.6,0.2,1.9,7.5,11.2,17.5,19.6,25.7,10.5,4.3,87867,N,10.4,10.0,13.7,13.7,17.8,16.8,7.0,7.0,1.5,2.1,36169,51334
9,19115,13767,8501,6346,5266,8.4,5.8,10.0,9.8,14.5,15.7,12.0,13.0,6.2,4.7,52635,74614,3.0,4.1,5.6,8.1,13.5,16.0,15.1,18.1,9.3,7.3,74571,95924,1.6,4.4,4.9,7.5,12.0,14.7,16.4,19.5,11.7,7.3,85348,N,17.4,8.5,17.3,12.7,17.5,16.2,5.6,3.6,0.8,0.3,30743,38301
