geoid,name,B23025001,"B23025001, Error",B23025002,"B23025002, Error",B23025003,"B23025003, Error",B23025004,"B23025004, Error",B23025005,"B23025005, Error",B23025006,"B23025006, Error",B23025007,"B23025007, Error"
86000US08030,"08030",10170,337,6787,421,6787,421,6290,416,497,169,0,19,3383,340
86000US08063,"08063",2482,87,1589,103,1584,103,1469,103,115,49,5,8,893,111
86000US08065,"08065",5948,173,4156,280,4149,281,3794,289,355,128,7,11,1792,236
86000US08075,"08075",23423,405,15959,520,15925,523,15078,516,847,266,34,29,7464,483
86000US08077,"08077",15827,183,10755,311,10704,320,10274,312,430,120,51,58,5072,305
86000US08086,"08086",6393,389,4114,360,4114,360,3914,354,200,70,0,17,2279,266
86000US08093,"08093",7589,575,5068,503,5068,503,4710,501,358,139,0,17,2521,296
86000US08102,"08102",5651,558,2626,398,2626,398,2256,371,370,162,0,17,3025,489
86000US08103,"08103",11242,768,5320,596,5320,596,4561,569,759,197,0,19,5922,604
86000US08104,"08104",15425,880,8633,723,8633,723,7129,714,1504,367,0,23,6792,590
86000US08110,"08110",14524,730,9462,643,9462,643,8770,629,692,214,0,19,5062,528
86000US19004,"19004",7498,325,5045,299,5045,299,4858,299,187,67,0,15,2453,228
86000US19006,"19006",17841,449,11230,390,11230,390,10762,379,468,117,0,19,6611,374
86000US19012,"19012",5045,321,3572,334,3572,334,3403,328,169,58,0,15,1473,247
86000US19020,"19020",45924,614,30995,732,30878,718,29245,766,1633,311,117,115,14929,665
86000US19023,"19023",16679,411,11472,493,11472,493,10435,447,1037,244,0,19,5207,434
86000US19027,"19027",16529,603,11378,530,11365,533,10872,562,493,130,13,21,5151,395
86000US19029,"19029",3290,157,2056,295,2056,295,1911,235,145,89,0,10,1234,221
86000US19031,"19031",3646,303,2430,248,2430,248,2344,245,86,43,0,10,1216,184
86000US19035,"19035",2873,260,1704,235,1704,235,1621,232,83,61,0,10,1169,210
86000US19038,"19038",25665,654,17560,591,17537,592,16803,564,734,149,23,24,8105,501
86000US19046,"19046",14342,530,8934,436,8929,436,8552,436,377,110,5,7,5408,371
86000US19050,"19050",23084,450,15960,535,15960,535,14831,572,1129,227,0,19,7124,432
86000US19053,"19053",21801,508,14898,561,14886,562,14171,597,715,164,12,20,6903,468
86000US19066,"19066",4363,284,2729,239,2729,239,2653,233,76,58,0,15,1634,250
86000US19072,"19072",7647,311,5355,258,5343,257,5127,237,216,123,12,18,2292,259
86000US19079,"19079",7093,394,4763,463,4763,463,4277,451,486,207,0,15,2330,443
86000US19082,"19082",32468,800,22076,899,22076,899,20882,854,1194,272,0,22,10392,778
86000US19095,"19095",6021,512,3471,454,3458,451,3290,410,168,105,13,21,2550,396
86000US19096,"19096",10963,428,6809,349,6809,349,6548,323,261,123,0,16,4154,363
86000US19102,"19102",4984,567,3431,380,3431,380,3266,368,165,57,0,15,1553,362
86000US19103,"19103",22871,861,16091,836,16080,839,15608,838,472,144,11,18,6780,542
86000US19104,"19104",46818,1702,22800,1074,22784,1072,21098,1022,1686,259,16,32,24018,1222
86000US19106,"19106",11800,637,7881,556,7866,557,7593,548,273,103,15,24,3919,498
86000US19107,"19107",13586,815,9014,618,9002,618,8728,621,274,123,12,17,4572,513
86000US19109,"19109",0,10,0,10,0,10,0,10,0,10,0,10,0,10
86000US19111,"19111",52942,1565,34670,1455,34670,1455,32063,1351,2607,506,0,24,18272,861
86000US19112,"19112",0,10,0,10,0,10,0,10,0,10,0,10,0,10
