zipcode,total_population,below_poverty,percent_below_poverty,unrelated_individuals_population,unrelated_individuals_below_poverty,unrelated_individuals_percent_below_poverty,income_below_50percent_poverty_level,income_below_125percent_poverty_level,income_below_150percent_poverty_level,income_below_185percent_poverty_level,income_below_200percent_poverty_level,income_below_300percent_poverty_level,income_below_400percent_poverty_level,income_below_500percent_poverty_level,mean_income_deficit_unrelated_individuals
19102,4564,653,14.3,2818,598,21.2,530,724,749,874,890,1167,1577,1889,9071
19103,23802,2098,8.8,14078,1949,13.8,1292,3030,3656,4258,4477,6988,8812,11018,7775
19104,40263,18259,45.3,19972,11323,56.7,12515,21210,22768,25431,26189,31511,34246,36200,9183
19106,11372,851,7.5,5754,825,14.3,615,997,1063,1384,1431,2081,2894,4416,8548
19107,12518,2917,23.3,8102,2337,28.8,1641,3630,3970,4327,4504,6062,7124,8308,8457
19109,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-
19111,67507,11866,17.6,10793,2717,25.2,4905,15715,18836,24505,27269,38806,48432,54132,6894
19112,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-
19113,93,14,15.1,43,0,0.0,14,14,14,14,25,48,53,63,-
19114,31387,3149,10.0,7014,1524,21.7,1656,4224,5391,7776,8578,13973,18719,22353,6407
19115,33888,4142,12.2,6402,1490,23.3,1148,5198,6349,8342,9047,14630,20217,24027,5487
19116,34233,4672,13.6,5914,1690,28.6,1523,6130,7370,10017,10944,17079,21647,25161,6148
19118,10005,664,6.6,2756,462,16.8,431,874,1093,1679,1892,3030,3944,4703,8202
19119,28567,2959,10.4,6728,1419,21.1,1625,3878,5024,5937,6733,10869,14163,16849,7125
19120,74685,21719,29.1,11615,4858,41.8,8571,25666,30973,36695,40308,54103,63240,68928,7764
19121,29883,14551,48.7,10931,6191,56.6,8198,16655,18370,20444,20940,24121,26118,27829,7639
19122,18407,6227,33.8,6013,2566,42.7,2907,7548,8955,10264,10823,13294,14852,16230,6949
19123,15384,2991,19.4,8078,1766,21.9,1861,3639,4277,4963,5128,6917,8309,9701,7090
19124,68566,23531,34.3,12522,4813,38.4,9362,28449,33314,38673,40847,50877,58941,62386,6707
19125,24616,4314,17.5,10411,2019,19.4,2297,5440,6767,7702,8131,12436,15464,18278,7596
19126,15129,3821,25.3,2985,909,30.5,1358,4225,5115,5934,6074,8348,10899,12668,7407
19127,6036,1383,22.9,3775,1177,31.2,972,1651,1748,2019,2104,2800,3457,4204,9510
19128,38009,3752,9.9,12502,2688,21.5,2239,4475,5714,8069,8746,13676,19370,24533,8407
19129,9796,1529,15.6,3644,927,25.4,812,2043,2170,2357,2489,4107,5004,6054,7527
19130,26913,3388,12.6,12443,1868,15.0,1726,3971,4478,5651,6134,9315,11956,14853,7563
19131,42057,13874,33.0,11620,4586,39.5,6866,16085,18026,20121,21178,28314,32943,35547,7670
19132,31893,12574,39.4,9234,4663,50.5,5855,15615,17343,20147,20934,26055,29096,30333,7601
19133,27241,14071,51.7,5434,3450,63.5,6319,16655,18178,20113,20934,24514,25561,26304,6792
19134,61076,25033,41.0,12531,5637,45.0,12149,30344,34711,39165,40416,48222,53063,55896,6526
19135,35180,7540,21.4,6059,1813,29.9,2848,9977,11726,14958,15883,23227,28348,31390,7553
19136,32307,5959,18.4,7304,1784,24.4,2528,7801,9485,11852,12542,19120,23571,26214,7728
19137,8427,1579,18.7,1552,443,28.5,607,1822,2177,2615,2896,4617,6059,6941,7429
19138,31853,7038,22.1,6361,2825,44.4,2940,9257,10651,13426,14545,20880,25574,27680,7266
19139,43985,16050,36.5,11293,4503,39.9,8720,19104,21334,25421,27053,33803,38398,41495,7456
19140,51111,21442,42.0,10736,5665,52.8,9785,25106,28576,33347,35263,43023,46960,48750,6651
19141,33443,9350,28.0,7517,2784,37.0,3774,11913,13531,17095,17985,23071,27288,29759,6742
19142,28045,9273,33.1,5339,2531,47.4,5501,11241,12748,15165,16519,21971,25114,26343,8290
19143,64881,19859,30.6,18068,6287,34.8,8809,23316,27359,33921,35838,45935,52607,56664,6942
19144,41275,12302,29.8,13560,5348,39.4,5438,14754,17570,20965,21820,27535,31850,34829,7061
19145,46263,9889,21.4,11611,3115,26.8,4492,12143,15115,19205,20541,28078,33321,37657,6502
19146,38603,6753,17.5,15059,3470,23.0,3389,8474,10127,12209,12939,18078,21844,24996,7544
19147,38950,4350,11.2,14589,2158,14.8,1888,5929,6922,9463,10503,15332,19463,22988,6586
19148,52396,11695,22.3,13564,3247,23.9,5727,14808,17445,21068,22650,31013,37826,42301,7245
19149,59397,13108,22.1,9547,2644,27.7,3869,17103,21473,26265,28947,39952,48406,52792,7625
19150,22492,2823,12.6,5018,818,16.3,1690,3668,4902,6757,7676,11200,15278,17772,7662
19151,33004,6029,18.3,6844,1810,26.4,2527,7604,9227,12554,13546,19185,22922,25680,7899
19152,35940,5177,14.4,6499,1726,26.6,2076,6435,8449,10806,12616,19363,25411,29574,6688
19153,13113,2906,22.2,3422,762,22.3,1413,3837,4404,5341,5849,7594,9240,10712,7315
19154,33902,2763,8.1,5527,1160,21.0,1426,3573,4943,6693,7443,14040,20470,24572,8040
